subj,gender,vowel,f1,f2,f3
Speaker105,m,a,597.212909584458,1500.54440514976,2305.13419520904
Speaker105,m,ã,674.36071963355,1438.63329159355,2439.94022222444
Speaker105,m,a,622.46768653879,1163.80621128774,2501.05740046726
Speaker105,m,a,666.031024306115,1185.35731018966,2555.7248231988
Speaker105,m,a,644.419631393103,1144.9020512596,2531.28896002919
Speaker105,m,ã,708.662133415576,1052.6818694552,2598.65887140304
Speaker105,m,ã,674.871269855667,1118.96444437505,2668.99631110379
Speaker105,m,a,659.757890035231,1440.49147791499,2343.78878576815
Speaker105,m,a,628.416666635734,1423.50854835521,2324.47626175776
Speaker105,m,a,575.011324432473,1408.33484454054,2333.5051740646
Speaker105,m,ã,690.896088822039,1380.02795708508,2449.10325697163
Speaker105,m,ã,701.707904916447,1448.74485929689,2521.92912055068
Speaker105,m,ã,635.126488404533,1377.1836407517,2373.32651778712
Speaker105,m,u,299.124644266137,1061.27288582027,2434.24506341572
Speaker105,m,u,334.699837805331,953.446411662091,2385.61836799052
Speaker105,m,u,352.901753282337,1072.12954517812,2339.31836236929
Speaker105,m,ũ,356.595641246212,1087.64041729841,2441.88453463872
Speaker105,m,u,378.527106689989,959.367855238841,2535.88123562331
Speaker105,m,u,356.033912621011,991.721886468422,2618.90320241134
Speaker105,m,u,352.071230686818,985.661058917072,2742.00346685039
Speaker105,m,ũ,397.523335663838,1003.09516282779,2563.60061988596
Speaker105,m,ũ,364.608725298606,1019.51196725589,2593.79749045241
Speaker105,m,ũ,353.988881205429,1001.04349465797,2573.91774440642
Speaker105,m,u,333.072775348063,754.244958516835,2506.89029341659
Speaker105,m,u,336.379126661553,800.819252314782,2507.53210282654
Speaker105,m,u,343.875341804209,873.109956092922,2521.05865068975
Speaker105,m,ũ,363.045825785644,1022.29969583722,2353.98581328843
Speaker105,m,ũ,339.589314061084,948.276645349405,2503.73603731496
Speaker105,m,ũ,353.872156490982,1002.74489417801,2395.39288072006
Speaker105,m,o,430.568563499196,994.072585191848,2581.37996711778
Speaker105,m,o,435.460972958363,1033.41862873618,2603.10879374371
Speaker105,m,o,436.115906538643,961.897267117327,2665.10788840129
Speaker105,m,õ,470.264997047497,938.941411051533,2836.51054564545
Speaker105,m,õ,563.721021690742,985.75962866473,2746.01310612488
Speaker105,m,o,503.583638459788,1030.5913003853,2550.40291954422
Speaker105,m,o,511.913071274732,1008.98489065253,2665.67625775567
Speaker105,m,o,512.216698454043,948.930899276297,2657.74422799652
Speaker105,m,õ,443.567974045691,809.321822066485,2707.2052108143
Speaker105,m,õ,462.657249264785,837.187779432534,2806.3809761311
Speaker105,m,õ,462.19692959275,810.393907715375,2858.19906564251
Speaker105,m,o,442.449478093177,783.705714693591,2655.20098361914
Speaker105,m,o,407.761272338624,745.477657898871,2643.93896662779
Speaker105,m,o,430.349161828224,857.720261882856,2582.42802100299
Speaker105,m,õ,480.775944061186,841.887665860645,2561.87562813663
Speaker105,m,õ,579.790021974573,986.071282624955,2576.36508745698
Speaker105,m,o,500.990790744027,926.863847928698,2614.82895339396
Speaker105,m,o,512.850030585904,900.93832413635,2634.11503480344
Speaker105,m,o,521.872349552565,954.169159127542,2733.89497460536
Speaker105,m,ɔ̃,594.313510859067,1027.45609409973,2840.03115370559
