subj,gender,vowel,f1,f2,f3,f2-f1
Speaker94,f,i,308.838889544089,2814.23530177433,3294.20835327111,2505.39641223024
Speaker94,f,i,348.203985261824,2858.73328824069,3392.32828066983,2510.52930297887
Speaker94,f,ĩ,378.753643704538,2731.84628294237,3335.15978444429,2353.09263923783
Speaker94,f,i,885.891852825759,2481.20404261103,3575.0500477257,1595.31218978527
Speaker94,f,ĩ,508.9562240415,2772.35869342348,3148.12559718666,2263.40246938198
Speaker94,f,i,366.952662267817,2686.76124287865,3137.26393748263,2319.80858061083
Speaker94,f,ĩ,376.142370830672,1075.7736433499,2953.88621868847,699.631272519227
Speaker94,f,i,394.981043976291,2798.10919410565,3161.35655545857,2403.12815012935
Speaker94,f,ĩ,376.695043562183,2990.41687070787,3860.97423420961,2613.72182714568
Speaker94,f,i,328.93096568197,2596.66966981863,2959.63262923819,2267.73870413666
Speaker94,f,ĩ,354.142748169066,2314.26776931214,3008.2236528397,1960.12502114307
Speaker94,f,e,490.802361030251,2565.53607348685,3114.72470724861,2074.7337124566
Speaker94,f,ẽ,553.018546548436,2428.80948573907,3234.36941544865,1875.79093919064
Speaker94,f,e,477.128402464783,2515.82504972808,3193.87351215666,2038.69664726329
Speaker94,f,ẽ,443.947057355622,1571.3210729334,2786.48146993005,1127.37401557778
Speaker94,f,e,451.188773783618,2607.55791998225,3083.73127878329,2156.36914619864
Speaker94,f,ẽ,620.019470704682,2319.73124151048,3113.7011912032,1699.7117708058
Speaker94,f,e,501.209968701528,2141.07648533171,3068.17093294592,1639.86651663018
Speaker94,f,ɛ̃,534.086543046972,1565.81482712103,2968.51068226448,1031.72828407405
Speaker94,f,ɛ,464.994118355885,2308.43574957032,3037.14624174826,1843.44163121443
Speaker94,f,ɛ̃,505.112288402243,2311.62161789915,3158.88735299501,1806.50932949691
Speaker94,f,ɛ,542.687358605118,2177.10487993336,3014.70845940605,1634.41752132824
Speaker94,f,ɛ̃,662.876589736467,2185.55069796448,3114.62831873202,1522.67410822801
Speaker94,f,ɛ,574.816426680571,1910.60587519708,3114.35112203564,1335.78944851651
Speaker94,f,ɛ̃,556.247949738796,2146.05789375038,3096.27463114062,1589.80994401158
Speaker94,f,ɛ,517.841230286191,2186.88248560911,3152.87834428369,1669.04125532291
Speaker94,f,ɛ̃,524.842103620181,2379.82850183138,3209.11202297493,1854.9863982112
Speaker94,f,ɛ,590.114894408156,2155.7052867706,2946.20385576318,1565.59039236244
Speaker94,f,ɛ,588.937762026143,2139.80961041912,2982.36699135773,1550.87184839297
Speaker94,f,ɛ̃,582.372056222128,2157.1883227588,3076.86531755754,1574.81626653667
Speaker94,f,ə̃,550.672120976603,1432.35271867866,2673.62794915811,881.680597702056
Speaker94,f,ɨ,563.356427854481,1671.20140036807,2818.22302122531,1107.84497251359
Speaker94,f,ə,506.407977626278,1089.35289587005,2854.23090875949,582.944918243776
Speaker94,f,ə,572.177095142155,1258.69934485554,2785.34465172455,686.522249713387
Speaker94,f,ə̃,466.066296438815,1729.90987992503,2707.01530212183,1263.84358348622
Speaker94,f,ə,519.909915079909,1247.10193040513,2758.81236940236,727.192015325217
Speaker94,f,ə,541.422031289035,1275.15316996517,2884.40934703314,733.731138676138
Speaker94,f,ə̃,466.127644613807,1143.90611411908,2767.86478070305,677.778469505275
Speaker94,f,a,863.881292582141,1482.7685623523,2776.59881746361,618.887269770156
Speaker94,f,a,914.016592550792,1602.52277089951,2960.04582871466,688.506178348722
Speaker94,f,ã,814.361096736644,1586.20130746231,3098.27716687046,771.840210725666
Speaker94,f,a,693.790480382674,1862.34114231168,2937.18830048386,1168.550661929
Speaker94,f,ã,749.51706796962,1398.72715782621,2952.00485760289,649.210089856586
Speaker94,f,a,814.475485267651,1329.75692602283,2801.44536237247,515.281440755178
Speaker94,f,ã,711.623679400265,1319.27972872744,2910.17301328004,607.656049327178
Speaker94,f,a,711.09415047751,1701.6826763559,3110.91042817785,990.588525878386
Speaker94,f,u,377.799465836817,1047.29212348728,2781.70153850084,669.492657650458
Speaker94,f,ũ,359.540054237661,1055.03829605581,2779.49293439818,695.498241818153
Speaker94,f,u,383.875037506218,823.060101845721,2775.18693127524,439.185064339503
Speaker94,f,ũ,442.545748138421,744.993252840573,2660.30059977742,302.447504702151
Speaker94,f,u,361.441356981088,951.248228641211,2527.2588359044,589.806871660124
Speaker94,f,u,366.958722664218,1003.25539030855,2707.41268017088,636.296667644329
Speaker94,f,ũ,419.896070356853,1101.27245026982,2703.44859679261,681.376379912962
Speaker94,f,o,470.998886218058,1127.43548014531,2798.01739599268,656.43659392725
Speaker94,f,õ,509.845585157595,967.415854288526,2998.18896434932,457.570269130931
Speaker94,f,o,565.992731534228,1082.75894630024,2709.3737859196,516.766214766017
Speaker94,f,õ,504.123586942889,785.724776383972,2754.94642040888,281.601189441083
Speaker94,f,o,451.839045329438,860.303064933614,2726.06216371552,408.464019604176
